2025-04-20 17:24:28.418 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 7 | Text: this afforded the festival more room for camping, and an increased space for entertainment. | Got error: Trigger word 'abc' not found in text this afforded the festival more room for camping, and an increased space for entertainment..
2025-04-20 17:24:28.515 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 9 | Text: the storm curved northwestward while south of hispaniola and as a result, struck the tiburon peninsula of haiti on september 1. | Cannot process event list: [{'text': 'the storm curved northwestward while south of hispaniola and as a result, struck the tiburon peninsula of haiti on september 1.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.518 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 10 | Text: on 6 february 1996, the 757 - 200 operating the route crashed shortly after take - off from puerto plata ' s gregorio luperon international airport. | Got error: Trigger word 'abc' not found in text on 6 february 1996, the 757 - 200 operating the route crashed shortly after take - off from puerto plata ' s gregorio luperon international airport..
2025-04-20 17:24:28.520 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 0 | Text: the allied invasion of germany started with the western allies crossing the rhine river on 22 march 1945 before fanning out and overrunning all of western germany from the baltic in the north to the alpine passes in the south, where they linked up with troops of the u. s. fifth army in italy. | Got error: Trigger word 'abc' not found in text the allied invasion of germany started with the western allies crossing the rhine river on 22 march 1945 before fanning out and overrunning all of western germany from the baltic in the north to the alpine passes in the south, where they linked up with troops of the u. s. fifth army in italy..
2025-04-20 17:24:28.524 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 5 | Text: a german bombardment of the belgian fortifications with heavy and super - heavy artillery began on 28 september. | Got error: Trigger word 'abc' not found in text a german bombardment of the belgian fortifications with heavy and super - heavy artillery began on 28 september..
2025-04-20 17:24:28.527 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 1 | Text: bombing of the trail system had begun on 14 december 1964 with the advent of operation barrel roll. | Got error: Trigger word 'abc' not found in text bombing of the trail system had begun on 14 december 1964 with the advent of operation barrel roll..
2025-04-20 17:24:28.580 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 8 | Text: the race takes place in the southern part of illinois beginning near wolf lake, illinois and ending in golconda, illinois. | Got error: Trigger word 'abc' not found in text the race takes place in the southern part of illinois beginning near wolf lake, illinois and ending in golconda, illinois..
2025-04-20 17:24:28.609 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 6 | Text: while a criminal investigation was initiated, city authorities suspect that the cause may have been improper use of gas appliances. | Got error: Trigger word 'abc' not found in text while a criminal investigation was initiated, city authorities suspect that the cause may have been improper use of gas appliances..
2025-04-20 17:24:28.613 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 7 | Text: when the danes left their camp he attacked, while the remaining rebels moved over the river. | Got error: Trigger word 'abc' not found in text when the danes left their camp he attacked, while the remaining rebels moved over the river..
2025-04-20 17:24:28.634 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 7 | Text: when the danes left their camp he attacked, while the remaining rebels moved over the river. | Got error: Trigger word 'abc' not found in text when the danes left their camp he attacked, while the remaining rebels moved over the river..
2025-04-20 17:24:28.635 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 3 | Text: as it was floating upward, he would appear with another guitar, aim the neck at the floating guitar, shoot the rockets, and blow it up. | Got error: Trigger word 'abc' not found in text as it was floating upward, he would appear with another guitar, aim the neck at the floating guitar, shoot the rockets, and blow it up..
2025-04-20 17:24:28.639 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 4 | Text: the bombings occurred shortly before a curfew that had been in place for a decade was lifted, but saad maan, a spokesman for the iraqi interior ministry, said that he did not think the bombings were linked to the curfew. | Got error: Trigger word 'abc' not found in text the bombings occurred shortly before a curfew that had been in place for a decade was lifted, but saad maan, a spokesman for the iraqi interior ministry, said that he did not think the bombings were linked to the curfew..
2025-04-20 17:24:28.645 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 9 | Text: in the former, high tides inundated homes and buildings with of water in two small villages on the outer banks and flooded a highway to manteo. | Got error: Trigger word 'abc' not found in text in the former, high tides inundated homes and buildings with of water in two small villages on the outer banks and flooded a highway to manteo..
2025-04-20 17:24:28.647 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 10 | Text: on 6 february 1996, the 757 - 200 operating the route crashed shortly after take - off from puerto plata ' s gregorio luperon international airport. | Cannot process event list: [{'text': "on 6 february 1996, the 757 - 200 operating the route crashed shortly after take - off from puerto plata ' s gregorio luperon international airport.", 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.649 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 0 | Text: the allied invasion of germany started with the western allies crossing the rhine river on 22 march 1945 before fanning out and overrunning all of western germany from the baltic in the north to the alpine passes in the south, where they linked up with troops of the u. s. fifth army in italy. | Got error: Trigger word 'abc' not found in text the allied invasion of germany started with the western allies crossing the rhine river on 22 march 1945 before fanning out and overrunning all of western germany from the baltic in the north to the alpine passes in the south, where they linked up with troops of the u. s. fifth army in italy..
2025-04-20 17:24:28.651 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 5 | Text: a german bombardment of the belgian fortifications with heavy and super - heavy artillery began on 28 september. | Got error: Trigger word 'abc' not found in text a german bombardment of the belgian fortifications with heavy and super - heavy artillery began on 28 september..
2025-04-20 17:24:28.652 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 1 | Text: bombing of the trail system had begun on 14 december 1964 with the advent of operation barrel roll. | Cannot process event list: [{'text': 'bombing of the trail system had begun on 14 december 1964 with the advent of operation barrel roll.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.655 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 8 | Text: the race takes place in the southern part of illinois beginning near wolf lake, illinois and ending in golconda, illinois. | Got error: Trigger word 'abc' not found in text the race takes place in the southern part of illinois beginning near wolf lake, illinois and ending in golconda, illinois..
2025-04-20 17:24:28.660 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 6 | Text: while a criminal investigation was initiated, city authorities suspect that the cause may have been improper use of gas appliances. | Cannot process event list: [{'text': 'while a criminal investigation was initiated, city authorities suspect that the cause may have been improper use of gas appliances.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.662 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 2 | Text: the icing caused the loss of pitch control and the aircraft entered a steep dive. | Got error: Trigger word 'abc' not found in text the icing caused the loss of pitch control and the aircraft entered a steep dive..
2025-04-20 17:24:28.664 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 7 | Text: when the danes left their camp he attacked, while the remaining rebels moved over the river. | Got error: Trigger word 'abc' not found in text when the danes left their camp he attacked, while the remaining rebels moved over the river..
2025-04-20 17:24:28.666 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 3 | Text: as it was floating upward, he would appear with another guitar, aim the neck at the floating guitar, shoot the rockets, and blow it up. | Got error: Trigger word 'abc' not found in text as it was floating upward, he would appear with another guitar, aim the neck at the floating guitar, shoot the rockets, and blow it up..
2025-04-20 17:24:28.669 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 4 | Text: the bombings occurred shortly before a curfew that had been in place for a decade was lifted, but saad maan, a spokesman for the iraqi interior ministry, said that he did not think the bombings were linked to the curfew. | Got error: Trigger word 'abc' not found in text the bombings occurred shortly before a curfew that had been in place for a decade was lifted, but saad maan, a spokesman for the iraqi interior ministry, said that he did not think the bombings were linked to the curfew..
2025-04-20 17:24:28.670 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 9 | Text: in the former, high tides inundated homes and buildings with of water in two small villages on the outer banks and flooded a highway to manteo. | Got error: Trigger word 'abc' not found in text in the former, high tides inundated homes and buildings with of water in two small villages on the outer banks and flooded a highway to manteo..
2025-04-20 17:24:28.679 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 10 | Text: on the day of the capture of sandomierz, the battle of tursko took place. | Got error: Trigger word 'abc' not found in text on the day of the capture of sandomierz, the battle of tursko took place..
2025-04-20 17:24:28.680 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 0 | Text: the allied invasion of germany started with the western allies crossing the rhine river on 22 march 1945 before fanning out and overrunning all of western germany from the baltic in the north to the alpine passes in the south, where they linked up with troops of the u. s. fifth army in italy. | Got error: Trigger word 'abc' not found in text the allied invasion of germany started with the western allies crossing the rhine river on 22 march 1945 before fanning out and overrunning all of western germany from the baltic in the north to the alpine passes in the south, where they linked up with troops of the u. s. fifth army in italy..
2025-04-20 17:24:28.682 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 5 | Text: a german bombardment of the belgian fortifications with heavy and super - heavy artillery began on 28 september. | Got error: Trigger word 'abc' not found in text a german bombardment of the belgian fortifications with heavy and super - heavy artillery began on 28 september..
2025-04-20 17:24:28.684 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 1 | Text: in the morning hours of the next day, the military regime blew up the historic rangoon university students ' union ( rusu ) building, which had been the symbol of the anti - colonial nationalism struggle since the 1920s. | Got error: Trigger word 'abc' not found in text in the morning hours of the next day, the military regime blew up the historic rangoon university students ' union ( rusu ) building, which had been the symbol of the anti - colonial nationalism struggle since the 1920s..
2025-04-20 17:24:28.685 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 8 | Text: the race takes place in the southern part of illinois beginning near wolf lake, illinois and ending in golconda, illinois. | Cannot process event list: [{'text': 'the race takes place in the southern part of illinois beginning near wolf lake, illinois and ending in golconda, illinois.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.687 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 6 | Text: the war continued in other areas, although the heartland of the republic was no longer threatened ; this included the beginnings of the dutch colonial empire, which at the time were conceived as carrying overseas the war with spain. | Got error: Trigger word 'abc' not found in text the war continued in other areas, although the heartland of the republic was no longer threatened ; this included the beginnings of the dutch colonial empire, which at the time were conceived as carrying overseas the war with spain..
2025-04-20 17:24:28.690 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 2 | Text: the icing caused the loss of pitch control and the aircraft entered a steep dive. | Got error: Trigger word 'abc' not found in text the icing caused the loss of pitch control and the aircraft entered a steep dive..
2025-04-20 17:24:28.694 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 7 | Text: when the danes left their camp he attacked, while the remaining rebels moved over the river. | Cannot process event list: [{'text': 'when the danes left their camp he attacked, while the remaining rebels moved over the river.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.697 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 3 | Text: as it was floating upward, he would appear with another guitar, aim the neck at the floating guitar, shoot the rockets, and blow it up. | Got error: Trigger word 'abc' not found in text as it was floating upward, he would appear with another guitar, aim the neck at the floating guitar, shoot the rockets, and blow it up..
2025-04-20 17:24:28.699 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 4 | Text: the bombings occurred shortly before a curfew that had been in place for a decade was lifted, but saad maan, a spokesman for the iraqi interior ministry, said that he did not think the bombings were linked to the curfew. | Got error: Trigger word 'abc' not found in text the bombings occurred shortly before a curfew that had been in place for a decade was lifted, but saad maan, a spokesman for the iraqi interior ministry, said that he did not think the bombings were linked to the curfew..
2025-04-20 17:24:28.701 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 9 | Text: in the former, high tides inundated homes and buildings with of water in two small villages on the outer banks and flooded a highway to manteo. | Got error: Trigger word 'abc' not found in text in the former, high tides inundated homes and buildings with of water in two small villages on the outer banks and flooded a highway to manteo..
2025-04-20 17:24:28.703 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 10 | Text: on the day of the capture of sandomierz, the battle of tursko took place. | Got error: Trigger word 'abc' not found in text on the day of the capture of sandomierz, the battle of tursko took place..
2025-04-20 17:24:28.718 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 0 | Text: the allied invasion of germany started with the western allies crossing the rhine river on 22 march 1945 before fanning out and overrunning all of western germany from the baltic in the north to the alpine passes in the south, where they linked up with troops of the u. s. fifth army in italy. | Cannot process event list: [{'text': 'the allied invasion of germany started with the western allies crossing the rhine river on 22 march 1945 before fanning out and overrunning all of western germany from the baltic in the north to the alpine passes in the south, where they linked up with troops of the u. s. fifth army in italy.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.727 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 5 | Text: a german bombardment of the belgian fortifications with heavy and super - heavy artillery began on 28 september. | Cannot process event list: [{'text': 'a german bombardment of the belgian fortifications with heavy and super - heavy artillery began on 28 september.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.729 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 1 | Text: in the morning hours of the next day, the military regime blew up the historic rangoon university students ' union ( rusu ) building, which had been the symbol of the anti - colonial nationalism struggle since the 1920s. | Got error: Trigger word 'abc' not found in text in the morning hours of the next day, the military regime blew up the historic rangoon university students ' union ( rusu ) building, which had been the symbol of the anti - colonial nationalism struggle since the 1920s..
2025-04-20 17:24:28.731 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 8 | Text: the ` ` eastern theater of eelam war iv ' ', the warfare started in the eastern province of sri lanka on july 21, 2006, when the ltte cut off the water supply to the rice fields in the mavil aru area in the eastern trincomalee district. | Got error: Trigger word 'abc' not found in text the ` ` eastern theater of eelam war iv ' ', the warfare started in the eastern province of sri lanka on july 21, 2006, when the ltte cut off the water supply to the rice fields in the mavil aru area in the eastern trincomalee district..
2025-04-20 17:24:28.734 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 6 | Text: the war continued in other areas, although the heartland of the republic was no longer threatened ; this included the beginnings of the dutch colonial empire, which at the time were conceived as carrying overseas the war with spain. | Got error: Trigger word 'abc' not found in text the war continued in other areas, although the heartland of the republic was no longer threatened ; this included the beginnings of the dutch colonial empire, which at the time were conceived as carrying overseas the war with spain..
2025-04-20 17:24:28.736 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 2 | Text: the icing caused the loss of pitch control and the aircraft entered a steep dive. | Got error: Trigger word 'abc' not found in text the icing caused the loss of pitch control and the aircraft entered a steep dive..
2025-04-20 17:24:28.739 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 7 | Text: this was the most serious escalation on the border since the 2006 lebanon war. | Got error: Trigger word 'abc' not found in text this was the most serious escalation on the border since the 2006 lebanon war..
2025-04-20 17:24:28.743 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 3 | Text: as it was floating upward, he would appear with another guitar, aim the neck at the floating guitar, shoot the rockets, and blow it up. | Cannot process event list: [{'text': 'as it was floating upward, he would appear with another guitar, aim the neck at the floating guitar, shoot the rockets, and blow it up.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.745 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 4 | Text: the bombings occurred shortly before a curfew that had been in place for a decade was lifted, but saad maan, a spokesman for the iraqi interior ministry, said that he did not think the bombings were linked to the curfew. | Cannot process event list: [{'text': 'the bombings occurred shortly before a curfew that had been in place for a decade was lifted, but saad maan, a spokesman for the iraqi interior ministry, said that he did not think the bombings were linked to the curfew.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.747 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 9 | Text: in the former, high tides inundated homes and buildings with of water in two small villages on the outer banks and flooded a highway to manteo. | Cannot process event list: [{'text': 'in the former, high tides inundated homes and buildings with of water in two small villages on the outer banks and flooded a highway to manteo.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.749 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 10 | Text: on the day of the capture of sandomierz, the battle of tursko took place. | Got error: Trigger word 'abc' not found in text on the day of the capture of sandomierz, the battle of tursko took place..
2025-04-20 17:24:28.751 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 0 | Text: as a result of the war, the league captured and partitioned almost all remaining european territories of the ottoman empire. | Got error: Trigger word 'abc' not found in text as a result of the war, the league captured and partitioned almost all remaining european territories of the ottoman empire..
2025-04-20 17:24:28.753 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 5 | Text: the people of machias captured additional british ships, and fought off a large force that tried to take control of the town in the battle of machias in 1777. | Got error: Trigger word 'abc' not found in text the people of machias captured additional british ships, and fought off a large force that tried to take control of the town in the battle of machias in 1777..
2025-04-20 17:24:28.757 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 1 | Text: in the morning hours of the next day, the military regime blew up the historic rangoon university students ' union ( rusu ) building, which had been the symbol of the anti - colonial nationalism struggle since the 1920s. | Got error: Trigger word 'abc' not found in text in the morning hours of the next day, the military regime blew up the historic rangoon university students ' union ( rusu ) building, which had been the symbol of the anti - colonial nationalism struggle since the 1920s..
